Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-10,Fluttershy,Development,Task #286623: Datenbanken Anbindung,11:30 - 14:30; 15:30 - 17:30; Anbindung Springer Link als Observable Collection. Styledefinition über Datatrigger zeigen selektierte Bücher an.,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Applejack,Development,Task #233102: Libov,"23-4 Uhr; Umsortierung der UI, Validator, Bugfixes",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Twilight Sparkle,Development,Task #286623: Datenbanken Anbindung,11:30 - 14:30; 15:30 - 17:30; Anbindung Springer Link als Observable Collection. Styledefinition über Datatrigger zeigen selektierte Bücher an.,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Rainbow Dash,Planning,Task #287559: Teammeetings,"",1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Rainbow Dash,Planning,Task #289508: 3D Webbrowser Grundwissen einholen,In diversen Foren gelesen. Auf der Homeseite von Awesomium Code angesehen und SDK heruntergeladen.,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #289452: Stunden Semster 1,"",17.15,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #257843: RADIUS-Server,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250518: Expertengespräche Wlan Triangolie,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250500: Einarbeitung in C#,"",44.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250491: Redmin Einarbeitung,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250492: SVN einrichten,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250493: Machbarkeitsstudie,"",7.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250495: Projektplanung nach DIN  69901-1/5,"",17.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250496: Versuch UML-Einzuführen,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250501: Einarbeitung in Visual Studio 2012,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250503: Team Administration,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250507: Radius Prototyp,"",14.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250508: Wifi Direct Prototyp,"",13.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250509: RFID Treiber ,"",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250511: Tutorial SVN,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-09,Trixie,Development,Task #250513: Wiki bearbeiten,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-08,Rainbow Dash,Planning,Task #289509: 3D Webbrowser Visual Studio besorgt,gesucht und gefunden,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-04,Pinkie Pie,Development,Task #282209: Touch Points Scroll Resize,Ausprobieren von lösungsansätzen,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-03,Cheerilee,Development,Task #287354: GUI: Neuauflage,Implementierungsgrundlagen (Rotierendes Kreismenue) (3.4.14; 11:30 - 15:00),3.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-03,Cheerilee,Design,Task #287381: Weiterführung Entwürfe,Entwicklung des UI-Aufbaus auf Grundlage eines Kreismenüs,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-03,Fluttershy,Development,Task #278079: Virtuelle Tastatur,15:40 - 18:10; WM-Points in der Tastatur benutzen anstelle der WM-Gestugre da diese nur für 2 touchpunkte sind,2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-03,Rainbow Dash,Design,Task #287381: Weiterführung Entwürfe,Entwicklung des UI-Aufbaus auf Grundlage eines Kreismenüs,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-02,Rainbow Dash,Development,Task #287381: Weiterführung Entwürfe,Entwurf#1 finalisiert (präsentierbar/diskutierbar),6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-02,Rainbow Dash,Administrative,Task #287559: Teammeetings,"",1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-02,Twilight Sparkle,Development,Task #278079: Virtuelle Tastatur,15:30 - 18:00,2.50,""
