Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-20,Applejack,Development,Task #233102: Libov,00:00-01:00 Uhr; es gab leider Probleme mit Google Dart (Einbindung dart:io),1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-17,Applejack,Development,Task #233102: Libov,11:00-18:00 Uhr,7.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-16,Applejack,Development,Task #233102: Libov,14:00-19:00 Uhr,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-11,Applejack,Development,Task #233102: Libov,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-31,Applejack,Development,Task #230404: Kusan: Projektplanung / Erstellung des Pflichtenheftes,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-29,Applejack,Development,Task #233102: Libov,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-28,Applejack,Development,Task #233102: Libov,"",7.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-27,Applejack,Development,Task #233102: Libov,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-26,Applejack,Development,Task #233102: Libov,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-25,Applejack,Development,Task #230543: Kusan: IPhone Bluetooth Test ,13:00-15:00,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-25,Applejack,Development,Task #221180: Einarbeitung in TUIO zusammen mit C++ bzw QT,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-25,Applejack,Development,Task #230846: Bearbeitung Wiki,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-15,Applejack,Development,Task #225049: Bewertung Qt,19-20 Uhr,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-15,Applejack,Development,Task #225051: Bewertung Kivy,18-19 Uhr,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-09,Applejack,Planning,Task #225375: Interview Frau Peters,14:30-15:30 Uhr,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-05,Applejack,Planning,Task #221180: Einarbeitung in TUIO zusammen mit C++ bzw QT,18-20 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-30,Applejack,Planning,Task #221180: Einarbeitung in TUIO zusammen mit C++ bzw QT,"20:10-20:40, 21:30-4:40, Ausarbeitung Vorträge Qt + TUIO, Kyvi, Sammeln von Informationen über PyMT, Kyvi, Python",7.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-29,Applejack,Planning,Task #221180: Einarbeitung in TUIO zusammen mit C++ bzw QT,"20:30-21:10, 0:15-0:55; Schwierigkeiten: qTUIO + Qt (Mail an Entwickler), QMTSimulator",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-28,Applejack,Planning,Task #221180: Einarbeitung in TUIO zusammen mit C++ bzw QT,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-19,Fluttershy,Development,Task #251786: Feature-Liste für Präsentation,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Fluttershy,Development,Task #251790: Jahrespräsentation vorbereiten,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Fluttershy,Development,Task #251783: Juris-Anbindung,"",15.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Fluttershy,Development,Task #251780: Entwicklung eines WLAN Direkt Prototypen,"",18.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Fluttershy,Development,Task #251778: Recherche zu WLAN Direkt,"",9.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Fluttershy,Development,Task #251777: NFC Pro­to­typ erstellen,"",21.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Fluttershy,Development,Task #251772: Einarbeitung in NFC Programmieren,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-14,Fluttershy,Development,Task #226314: Bluetooth Prototyp,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-08,Fluttershy,Development,Task #222662: Einarbeitung in C# und WPF,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Ditzy Doo,Development,Task #241562: Merkzettel für Cybrary,"",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Ditzy Doo,Development,Task #240779: Recherche Drag and Drop in Visual Studio ,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Ditzy Doo,Development,Task #237454: Bluetooth in Windows Phone und iPhone,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-16,Ditzy Doo,Development,Task #227458: TUIOPong,"",6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-13,Ditzy Doo,Development,Task #225037: Recherche Finnland,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-12,Ditzy Doo,Development,Task #225039: Unity Bewertung,"",0.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-09,Ditzy Doo,Planning,Task #224786: Einarbeitung in C# und WPF,"",6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-01-06,Maud Pie,Development,Task #254828: Inhalt Präsentation zusammenfassen,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-01-06,Maud Pie,Development,Task #254825: Personas,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-01-06,Maud Pie,Development,Task #254827: Multifocustastatur,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-29,Maud Pie,Development,Feature #243539: Tetrus,Tetris Clon,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-29,Maud Pie,Development,Task #243522: TUIO/Touch  Java,"",13.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-29,Maud Pie,Development,Task #232372: Theoretische Informatik Entwurf,Implementierung ,10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-29,Maud Pie,Planning,Task #232370: Lernsoftware,Konkurenzanalyse und Entwurf,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-05,Maud Pie,Development,Task #222660: In C# und  WPF einarbeiten (Pluralsight),zeit der video tutorials von jörn loviscach,12.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-21,Pinkie Pie,Development,Task #257832: WISO,Am 19.02.2014 - 22:00 Uhr bis 24:00 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-28,Pinkie Pie,Development,Task #241785: Anbindung an WISO und Juris - Versuch,10:30 - 13:30,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-27,Pinkie Pie,Development,Task #241785: Anbindung an WISO und Juris - Versuch,11:30 - 13:00,1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-26,Pinkie Pie,Development,Task #241785: Anbindung an WISO und Juris - Versuch,15:00 - 18:30,3.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-26,Pinkie Pie,Development,Task #229878: Anbindung an WISO,Läuft immer noch nicht,10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-26,Pinkie Pie,Development,Task #232377: Learning C#,"",15.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Pinkie Pie,Development,Task #241785: Anbindung an WISO und Juris - Versuch,12:00 - 18:00,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-22,Pinkie Pie,Development,Task #241785: Anbindung an WISO und Juris - Versuch,Den ganzen Tag verteilt von 9:00 an bis abends (zwischendurch war Vorlesung und so...),9.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-21,Pinkie Pie,Development,Task #241785: Anbindung an WISO und Juris - Versuch,18:00 - 20:00,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-20,Pinkie Pie,Development,Task #232377: Learning C#,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-09,Pinkie Pie,Development,Task #232377: Learning C#,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-30,Pinkie Pie,Development,Task #232377: Learning C#,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-23,Pinkie Pie,Development,Task #229868: Anbindung an Psyndex,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-23,Pinkie Pie,Development,Task #229868: Anbindung an Psyndex,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Rarity,Development,Task #257845: Corporate Design,Dokumentation erstellt,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Rarity,Development,Task #229759: Logo,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-22,Rarity,Development,Task #240643: GUI Entwurf: digitale Umsetzung,"",30.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-21,Rarity,Development,Task #229772: Projektname,trinamics / trinamix,10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-23,Rarity,Development,Task #225303: Layout des User Interface: Entwürfe #2,"",20.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-10,Rarity,Planning,Task #225307: Interview: Frau Peters,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-02,Rarity,Design,Task #220557: Scribbles des Willkommens- und Desktop-Bildschirms,making some scribbles,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-28,Rarity,Planning,Task #220557: Scribbles des Willkommens- und Desktop-Bildschirms,making a plan,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-23,Rainbow Dash,Development,Task #257836: Projektplan,PSP neu aufbereitet,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-21,Rainbow Dash,Planning,Task #257836: Projektplan,Zusammenfassung als PDF,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-01,Rainbow Dash,Development,Task #244249: Feature-Liste für Präsentation,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-23,Rainbow Dash,Development,Task #242551: Juris-Anbindung,"",25.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-30,Rainbow Dash,Development,Task #232283: Pflichtenheft,"",2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-23,Rainbow Dash,Development,Task #230402: Baumann: Projektplanung / Erstellung des Pflichtenheftes,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-01,Rainbow Dash,Planning,Task #222666: PSP,"",0.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-21,Trixie,Development,Task #257847: WPF Breeze Multitouch,Doku erstellt,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-30,Trixie,Development,Task #232375: Einarbeitung C# und WPF,"",15.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-23,Trixie,Development,Task #229878: Anbindung an WISO,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-13,Trixie,Development,Task #222664: MT4j testen und Demo ausprobieren,Getestet - für 64bit OS muessen dll Dateien ausgetauscht werden,2.00,""
